gammarus,sex,inf_status,temp,blank_ref,blanks,gam_dryweight_mg,saturation,volume_liter,change_percent,time_h,resp_rate,assimilation,filter_id,leaf_id,filter_dw_initial,filter_dw_final,poop_weight,efficiency,init_wet_gam,leaf_change,av_leafdecay,dryweight_mg,wet_gam,weight_change,days_inexpt,rate,feeding_rate
12UI,f,U,12,12_blank3_1,1.085460826,4.5,10.755,0.0062,0.05,0.44,0.017732626,0.26885833,21UI,041C,41.16,32.95,1.19,85.50930997,0.0196,8.22,0.08018,4.5,0.02,0.0027,7,0.000385714,0.335157606
12UM,m,U,12,12_blank2_1,2.204842303,3.1,10.755,0.0075,0.06,0.44,0.038633345,0.617496383,21UM,040E,52.88,40.4,1.4,88.81622185,0.0122,12.48,0.08018,3.1,0.01,0.0011,7,0.000157143,0.738749875
12UN,f,U,12,12_blank2_1,2.204842303,4.4,10.755,0.0068,0.03,0.44,0.007170625,0.145619269,21UN,039A,36.79,32.12,1.01,78.37670119,0.0198,4.67,0.08018,4.4,0.02,0.0017,7,0.000242857,0.194943001
12UO,f,U,12,12_blank4_1,1.707861654,2.2,10.755,0.006,0.02,0.44,0.00952652,0.643892549,21UO,017E,51.18,42.89,0.46,94.44558336,0.0101,8.29,0.08018,2.2,0.01,-0.0003,7,-4.28571E-05,0.691847142
15UA,f,U,15,15blank1_2,2.943443858,2.3,10.211,0.0055,0.11,0.61,0.04217953,0.368495381,15UA,052D,45.38,40.1,0.13,97.47878466,0.0127,5.28,0.053,2.3,0.01,-0.0015,8,-0.0001875,0.421296709
15UB,f,U,15,15blank3_1,17.39976699,2.8,10.211,0.0065,0.2,0.61,0.023442689,0.837536749,15UB,053A,49.98,35.99,0.85,93.89346811,0.0177,13.99,0.053,2.8,0.02,-0.0003,8,-0.0000375,0.916974797
15UD,f,U,15,15blank2_2,10.47263945,1.7,10.211,0.0066,0.14,0.61,0.04485075,0.406059245,15UD,032B,43.97,39.52,0.27,93.83678605,0.015,4.45,0.053,1.7,0.01,-0.0014,8,-0.000175,0.48052583
15UE,f,U,15,15blank5_1,19.92510803,2.1,10.211,0.0062,0.21,0.61,0.014469344,0.170152838,15UE,027B,30.53,27.14,1.28,62.18316701,0.0146,3.4,0.053,2.1,0.01,-0.0022,8,-0.000275,0.296900578
15UM,f,U,15,15blank1_2,2.943443858,2.5,10.211,0.0059,0.13,0.61,0.052822065,0.654293685,15UM,052F,44.24,33.87,0.73,92.91950874,0.0125,10.37,0.053,2.5,0.01,0.0004,8,0.00005,0.760998159
15UO,m,U,15,15blank1_2,2.943443858,2.7,10.211,0.0055,0.1,0.61,0.034493483,0.547441768,15UO,022C,49.04,40.15,0.33,96.3303475,0.0119,8.89,0.053,2.7,0.01,0.0016,8,0.0002,0.60410376
18_2UE,f,U,18,18_2_18_2Blank2_1,2.449133617,1.5,9.503,0.0058,0.04,0.44,0.027095146,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,6.95,0.05612,1.5,0.01,0.0004,9,4.44444E-05,0.85102481
18_2UK,f,U,18,18_2_18_2Blank1_1,1.233130213,1.5,9.503,0.0054,0.06,0.44,0.049132532,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0123,5.38,0.05612,1.5,0.01,-0.0021,9,-0.000233333,0.657735233
18_2UM,f,U,18,18_2_18_2Blank1_1,1.233130213,2.6,9.503,0.006,0.06,0.44,0.035710013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0129,9.85,0.05612,2.6,0.02,0.0022,9,0.000244444,0.695294934
18_2UO,m,U,18,18_2_18_2Blank3_1,5.891622128,4.4,9.503,0.0048,0.13,0.44,0.023208772,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0198,10.25,0.05612,4.4,0.02,0.0012,9,0.000133333,0.427587918
18UA,f,U,18,18_18Blank_1,0.599438298,2.8,9.503,0.008,0.07,0.44,0.054620374,0.497309534,18UA,058C,37.02,25.98,2.62,76.28591362,0.0176,11.04,0.05612,2.8,0.02,0.0007,9,7.77778E-05,0.723501734
18UF,f,U,18,18_18Blank_2,2.765979574,3.3,9.503,0.0068,0.08,0.44,0.037221615,0.351627104,18UF,036A,47.01,38.92,1.1,86.3557197,0.0199,8.1,0.05612,3.3,0.02,-0.001,9,-0.000111111,0.450287161
18UN,m,U,18,18_18Blank_1,0.599438298,3.8,9.503,0.0066,0.09,0.44,0.04275012,0.393297923,18UN,058D,37.51,26.66,1.82,83.20123131,0.0159,10.85,0.05612,3.8,0.02,0.0021,9,0.000233333,0.524088449
