,gam_id,temp,sex,inf_status,geo_order,photo_order,geo_score,photo_score
514,jU133,3,f,U,,,10,30
515,jU133,6,f,U,,,18,80
516,jU133,9,f,U,1,1,12,80
517,jU133,12,f,U,,,23,40
518,jU134,3,m,U,,,21,50
519,jU134,6,m,U,1,1,12,40
520,jU134,9,m,U,,,25,60
521,jU134,12,m,U,,,17,60
522,jU134,15,m,U,,,28,10
524,jU135,9,f,U,,,#N/A,0
523,jU135,6,f,U,,,68,50
525,jU135,12,f,U,1,1,17,0
526,jU136,6,f,U,1,1,25,80
527,jU136,12,f,U,,,10,#N/A
528,jU137,3,m,U,1,1,27,70
529,jU137,6,m,U,,,16,40
530,jU137,9,m,U,,,44,40
531,jU137,12,m,U,,,10,30
532,jU137,15,m,U,,,13,30
533,jU137,18,m,U,,,20,60
538,jU138,15,f,U,,,#N/A,30
534,jU138,3,f,U,,,17,30
535,jU138,6,f,U,,,15,20
536,jU138,9,f,U,,,13,30
537,jU138,12,f,U,1,1,14,60
539,jU139,3,f,U,,,34,30
540,jU139,6,f,U,,,29,30
541,jU139,9,f,U,,,28,50
542,jU139,12,f,U,,,17,90
543,jU139,15,f,U,,,14,60
544,jU139,18,f,U,1,1,16,50
546,jU140,9,m,U,,,#N/A,10
545,jU140,6,m,U,,,21,0
547,jU140,12,m,U,,,14,30
548,jU141,3,m,U,1,1,18,10
549,jU141,6,m,U,,,22,0
550,jU141,9,m,U,,,10,30
551,jU141,12,m,U,,,10,20
552,jU141,15,m,U,,,21,30
553,jU141,18,m,U,,,22,70
554,jU142,3,f,U,,,10,60
555,jU142,6,f,U,,,18,50
556,jU142,9,f,U,,,10,40
557,jU142,12,f,U,,,17,40
558,jU142,15,f,U,1,1,15,10
559,jU142,18,f,U,,,10,10
565,jU143,18,m,U,,,#N/A,0
560,jU143,3,m,U,,,16,50
561,jU143,6,m,U,,,19,50
562,jU143,9,m,U,,,22,60
563,jU143,12,m,U,1,1,14,70
564,jU143,15,m,U,,,31,80
566,jU144,3,f,U,,,18,50
567,jU144,6,f,U,,,11,40
568,jU144,9,f,U,1,1,13,40
569,jU144,12,f,U,,,30,60
570,jU144,15,f,U,,,17,60
571,jU144,18,f,U,,,27,40
573,jU145,9,f,U,,,#N/A,90
